title,date,views,likes,comments,team_score,opponent_score
FINALLY A WIN BUT THIS TEAM HAS MORE DEADWOOD THAN HBO| Aston Villa (0) vs Tottenham (2) EXPRESSIONS,2021-03-21,59658,3230,419,,
Aston Villa vs Tottenham LIVE with EXPRESSIONS OOZING,2021-03-21,71466,3166,54,,
"THE PLAYERS WOULD GET ANYONE SACKED, LEVY-ENIC, JOSE MORE ISSUES THAN PLAYBOY MAGAZINE OUT OF EUROPE",2021-03-19,95723,4966,834,,
"CRIMINAL FOSSIL FOOTBALL, A DISGRACE, OUT OF EUROPE IM LIVID!🤬🤬Dinamo (3) vs Spurs (0) EXPRESSIONS",2021-03-18,345052,13030,2795,,
Dinamo Zagreb vs Tottenham LIVE with EXPRESSIONS OOZING,2021-03-18,311948,9983,1193,,
"SPURS AND JOSE IN THE MUD, LIVERPOOL BOUNCE BACK, UNITED DO IT AGAIN! | NRG! NRG! NRG! EP 10",2021-03-17,41288,1834,371,,
EMIRATES OR NEVERLAND ALWAYS GETTING TOUCHED I'M FUMING🤬!| Arsenal (2) vs Tottenham (1) EXPRESSIONS,2021-03-14,238150,8904,1701,,
IT ALWAYS HAPPENS 🤬🤬🤬| Arsenal vs Tottenham LIVE WITH EXPRESSIONS OOZING AND @James Redmond TV,2021-03-14,205651,5748,550,,
EXPRESSONS VS TROOPZ WE GO TO WAR THIS MEANS EVERYTHING!| Arsenal vs Tottenham PREVIEW @TroopzTV,2021-03-13,105014,4386,382,,
EXPRESSIONS VS AFTV (TY) WE COULDN'T AGREE ON ANYTHING! 😑🤬Arsenal vs Tottenham NLD COMBINED 11,2021-03-12,172871,7629,1207,,
"REFEREE WAS A DISGRACE, THEY ARE NOT FOOTBALLERS THEY SHOULD JOIN THE UFC| Spurs (2) vs Dinamo (0)",2021-03-11,31799,1912,215,,
Tottenham vs Dinamo Zagreb LIVE WITH EXPRESSIONS OOZING,2021-03-11,36197,1458,57,,
"LIVERPOOL FINISHED 😂, SPURS CRUISING👀, UNITED STUFF CITY LIKE AN OREO @James Redmond TV  @Saeed TV",2021-03-10,32934,1728,247,,
"TOP 4 IS ON! GARETH WALES AND HARRY CLASS A ON FIRE, NLD NEXT!, Tottenham (4) vs Crystal Palace (1)",2021-03-07,48644,3252,423,,
Tottenham vs Crystal Palace LIVE WITH EXPRESSIONS OOZING,2021-03-07,77330,3726,91,,
