title,date,views,likes,comments
ITS ALWAYS THE SAME OLD 🤬🤬Newcastle (2) vs Tottenham (2) with EXPRESSIONS OOZING,2021-04-04T15:06:52Z,128178,4058,485
WE WERE ROBBED AND CHEATED I WANT REVENGE AND A TOP 4 FINISH| Newcastle vs Tottenham EXPRESSIONS,2021-04-03T12:08:41Z,39484,1633,158
GARETH BALE RETURNED TO SPURS FOR TRAINING??😳 WILL HARRY KANE  LEAVE? EXPRESSIONS REACTS,2021-03-25T12:27:34Z,95196,4498,505
EX RATED WITH SOPHIE ROSE - 10 THINGS THE STREETS WANT TO KNOW! EXPRESSIONS + @Sophie Rose World 18+,2021-03-24T12:00:09Z,225025,8878,974
FINALLY A WIN BUT THIS TEAM HAS MORE DEADWOOD THAN HBO| Aston Villa (0) vs Tottenham (2) EXPRESSIONS,2021-03-21T22:25:59Z,59658,3230,419
Aston Villa vs Tottenham LIVE with EXPRESSIONS OOZING,2021-03-21T21:33:27Z,71466,3166,54
"THE PLAYERS WOULD GET ANYONE SACKED, LEVY-ENIC, JOSE MORE ISSUES THAN PLAYBOY MAGAZINE OUT OF EUROPE",2021-03-19T16:42:22Z,95723,4966,834
"CRIMINAL FOSSIL FOOTBALL, A DISGRACE, OUT OF EUROPE IM LIVID!🤬🤬Dinamo (3) vs Spurs (0) EXPRESSIONS",2021-03-18T21:30:00Z,345052,13030,2795
Dinamo Zagreb vs Tottenham LIVE with EXPRESSIONS OOZING,2021-03-18T20:49:14Z,311948,9983,1193
"SPURS AND JOSE IN THE MUD, LIVERPOOL BOUNCE BACK, UNITED DO IT AGAIN! | NRG! NRG! NRG! EP 10",2021-03-17T11:58:51Z,41288,1834,371
EMIRATES OR NEVERLAND ALWAYS GETTING TOUCHED I'M FUMING🤬!| Arsenal (2) vs Tottenham (1) EXPRESSIONS,2021-03-14T19:37:32Z,238150,8904,1701
IT ALWAYS HAPPENS 🤬🤬🤬| Arsenal vs Tottenham LIVE WITH EXPRESSIONS OOZING AND @James Redmond TV,2021-03-14T18:33:43Z,205651,5748,550
EXPRESSONS VS TROOPZ WE GO TO WAR THIS MEANS EVERYTHING!| Arsenal vs Tottenham PREVIEW @TroopzTV,2021-03-13T13:12:42Z,105014,4386,382
EXPRESSIONS VS AFTV (TY) WE COULDN'T AGREE ON ANYTHING! 😑🤬Arsenal vs Tottenham NLD COMBINED 11,2021-03-12T11:44:23Z,172871,7629,1207
"REFEREE WAS A DISGRACE, THEY ARE NOT FOOTBALLERS THEY SHOULD JOIN THE UFC| Spurs (2) vs Dinamo (0)",2021-03-11T22:51:58Z,31799,1912,215
Tottenham vs Dinamo Zagreb LIVE WITH EXPRESSIONS OOZING,2021-03-11T22:06:25Z,36197,1458,57
"LIVERPOOL FINISHED 😂, SPURS CRUISING👀, UNITED STUFF CITY LIKE AN OREO @James Redmond TV  @Saeed TV",2021-03-10T12:00:32Z,32934,1728,247
"TOP 4 IS ON! GARETH WALES AND HARRY CLASS A ON FIRE, NLD NEXT!, Tottenham (4) vs Crystal Palace (1)",2021-03-07T22:11:35Z,48644,3252,423
Tottenham vs Crystal Palace LIVE WITH EXPRESSIONS OOZING,2021-03-07T21:16:27Z,77330,3726,91
VAR-SENAL AND PEPE THE GIFT KEEPS ON GIVING! Burnley 1 vs Arsenal 1 -Spurs vs CRYSTAL PALACE PREVIEW,2021-03-06T16:02:06Z,33285,1902,235
3 POINT ROBBERY WE MAY SEE MOURINHO IN GRAND THEFT AUTO 6😳! Fulham (0) vs Tottenham (1) EXPRESSIONS,2021-03-04T21:12:22Z,49098,2939,303
Fulham (0) vs Tottenham (1) LIVE With EXPRESSIONS OOZING,2021-03-04T20:06:27Z,48241,2928,43
WE WANT TO SEE FOOTBALL NOT TWO GUYS ARGUING OVER A PARKING SPACE! Fulham vs Tottenham| EXPRESSIONS,2021-03-03T16:23:56Z,23599,1507,186
GARETH UNVEILED BURNLEY HOLD A GEORGE FOUR-MAN SPECIAL| Tottenham 4 vs Burnley 0 EXPRESSIONS REACTS,2021-02-28T17:43:54Z,47112,3748,255
GARETH WALES ARRIVES!!! Tottenham (4) vs Burnley (0) LIVE WITH EXPRESSIONS OOZING,2021-02-28T16:10:25Z,68743,3577,85
WE BETTER WIN AGAINST GRANT MITCHELL FC OR WE ARE IN TROUBLE!| OOZING PICKS| Tottenham vs Burnley,2021-02-26T19:09:59Z,24509,1434,188
THE EUROPA LEAGUE IS ALL WE GOT LEFT! Tottenham (4) vs Wolfsberger AC (0) EXPRESSIONS REACTS,2021-02-24T19:50:02Z,45333,2416,260
Tottenham vs Wolfsberger AC LIVE WITH EXPRESSIONS OOZING @Rants N Bants,2021-02-24T18:56:29Z,62679,3143,50
